Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
12792.3,14730,1490,,"0,7533",,,13240,,
12794.2,14790,1482,,"0,6798",,,13300,,
12796.2,14820,1469,,"0,6208",,,13350,,
12798.1,14830,1452,,"0,5812",,,13370,,
12800,14800,1432,,"0,5572",,,13370,,
12801.9,14750,1407,,"0,5483",,,13340,,
12803.8,14670,1379,,"0,5546",,,13290,,
12805.8,14550,1345,,"0,5776",,,13200,,
12807.7,14400,1311,,"0,6154",,,13090,,
12809.6,14230,1273,,"0,6693",,,12950,,
12811.5,14020,1232,,"0,7402",,,12790,,
12813.5,13770,1187,,"0,8343",,,12580,,
12815.4,13500,1143,,"0,9434",,,12360,,
12817.3,13210,1096,,"1,073",,,12110,,
12819.2,12890,1049,,"1,226",,,11840,,
12821.2,12530,"997,8",,"1,412",,,11530,,
12823.1,12160,"948,8",,"1,617",,,11210,,
12825,11770,"899,5",,"1,85",,,10870,,
12826.9,11370,"850,2",,"2,114",,,10520,,
12828.8,10950,"801,3",,"2,413",,,10150,,
12830.8,10500,"750,4",,"2,766",,,9750,,
12832.7,10070,"702,9",,"3,142",,,9360,,
12834.6,9624,"656,5",,"3,56",,,8964,,
12836.5,9178,"611,3",,"4,024",,,8563,,
12838.5,8709,"565,3",,"4,564",,,8139,,
12840.4,8267,"523,3",,"5,129",,,7738,,
12842.3,7830,"482,9",,"5,748",,,7341,,
12844.2,7401,"444,4",,"6,423",,,6951,,
12846.2,6962,"405,8",,"7,198",,,6549,,
12848.1,6558,"371,2",,"7,996",,,6179,,
12850,6169,"338,6",,"8,857",,,5822,,
12851.9,5798,"307,9",,"9,782",,,5480,,
12853.8,5446,"279,3",,"10,77",,,5156,,
12855.8,5098,"251,2",,"11,89",,,4835,,
12857.7,4791,"226,6",,"13,01",,,4552,,
12859.6,4508,"203,8",,"14,2",,,4290,,
12861.5,4250,"182,9",,"15,46",,,4051,,
12863.5,4006,"162,8",,"16,84",,,3826,,
12865.4,3802,"145,4",,"18,22",,,3639,,
12867.3,3626,"129,6",,"19,65",,,3477,,
12869.2,3479,"115,4",,"21,13",,,3342,,
12871.2,3355,102,,"22,75",,,3230,,
12873.1,3267,"90,69",,"24,32",,,3152,,
12875,3209,"80,65",,"25,92",,,3102,,
12876.9,3180,"71,82",,"27,55",,,3081,,
12878.8,3181,"64,12",,"29,19",,,3088,,
12880.8,3214,"57,14",,"30,93",,,3126,,
12882.7,3275,"51,52",,"32,58",,,3191,,
12884.6,3366,"46,81",,"34,22",,,3285,,
12886.5,3486,"42,95",,"35,83",,,3407,,
12888.5,3642,"39,74",,"37,5",,,3565,,
12890.4,3820,"37,44",,"39,03",,,3744,,
12892.3,4025,"35,83",,"40,51",,,3949,,
12894.2,4257,"34,85",,"41,92",,,4180,,
12896.2,4529,"34,48",,"43,32",,,4451,,
12898.1,4813,"34,71",,"44,57",,,4734,,
12900,5122,"35,46",,"45,71",,,5041,,
12901.9,5453,"36,73",,"46,74",,,5370,,
12903.8,5807,"38,47",,"47,66",,,5721,,
12905.8,6201,"40,79",,"48,5",,,6112,,
12907.7,6595,"43,44",,"49,16",,,6502,,
12909.6,7007,"46,5",,"49,68",,,6910,,
12911.5,7434,"49,96",,"50,06",,,7334,,
12913.5,7899,54,,"50,3",,,7795,,
12915.4,8354,"58,21",,"50,38",,,8245,,
12917.3,8818,"62,76",,"50,32",,,8705,,
12919.2,9291,"67,62",,"50,1",,,9173,,
12921.2,9795,"73,05",,"49,72",,,9672,,
12923.1,10280,"78,5",,"49,22",,,10150,,
12925,10760,"84,19",,"48,57",,,10630,,
12926.9,11240,"90,11",,"47,8",,,11110,,
12928.8,11720,"96,21",,"46,9",,,11580,,
12930.8,12220,"102,8",,"45,82",,,12070,,
12932.7,12690,"109,2",,"44,69",,,12540,,
12934.6,13150,"115,7",,"43,46",,,12990,,
12936.5,13590,"122,3",,"42,14",,,13420,,
12938.5,14040,"129,2",,"40,66",,,13870,,
12940.4,14450,"135,7",,"39,19",,,14280,,
12942.3,14850,"142,2",,"37,66",,,14670,,
12944.2,15220,"148,5",,"36,08",,,15030,,
12946.2,15590,155,,"34,39",,,15400,,
12948.1,15920,161,,"32,75",,,15720,,
12950,16220,"166,7",,"31,1",,,16020,,
12951.9,16500,"172,2",,"29,45",,,16300,,
12953.8,16750,"177,3",,"27,8",,,16550,,
12955.8,16990,"182,2",,"26,09",,,16780,,
12957.7,17190,"186,5",,"24,48",,,16980,,
12959.6,17360,"190,4",,"22,91",,,17150,,
12961.5,17500,"193,7",,"21,37",,,17290,,
12963.5,17630,"196,7",,"19,81",,,17410,,
12965.4,17710,199,,"18,37",,,17500,,
12967.3,17780,"200,7",,"16,98",,,17560,,
12969.2,17810,"201,9",,"15,66",,,17600,,
12971.2,17820,"202,4",,"14,33",,,17610,,
12973.1,17810,"202,4",,"13,13",,,17600,,
12975,17770,"201,8",,12,,,17560,,
12976.9,17710,"200,5",,"10,93",,,17500,,
12978.8,17630,"198,8",,"9,933",,,17420,,
12980.8,17520,"196,3",,"8,95",,,17320,,
12982.7,17400,"193,4",,"8,082",,,17200,,
12984.6,17250,190,,"7,277",,,17060,,
12986.5,17090,"186,1",,"6,532",,,16900,,
12988.5,16900,"181,5",,"5,813",,,16720,,
12990.4,16710,"176,7",,"5,187",,,16530,,
12992.3,16490,"171,6",,"4,615",,,16320,,
12994.2,16270,"166,1",,"4,095",,,16100,,
12996.2,16010,160,,"3,598",,,15850,,
12998.1,15750,154,,"3,173",,,15590,,
13000,15480,"147,8",,"2,79",,,15330,,
13001.9,15200,"141,4",,"2,446",,,15050,,
13003.8,14900,"134,9",,"2,138",,,14760,,
13005.8,14570,128,,"1,85",,,14440,,
13007.7,14250,"121,3",,"1,608",,,14130,,
13009.6,13920,"114,7",,"1,393",,,13800,,
13011.5,13570,"108,2",,"1,203",,,13460,,
13013.5,13200,"101,4",,"1,028",,,13100,,
13015.4,12840,"95,01",,"0,8827",,,12740,,
13017.3,12460,"88,79",,"0,7558",,,12370,,
13019.2,12080,"82,74",,"0,6452",,,12000,,
