'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'TRUE','FALSE','FALSE','FALSE','FALSE','TRUE',1000,75,2000,72,29.35,-7.95,0.00,0.00,3539.32,-1699.61,3.39,-0.96
'TRUE','FALSE','FALSE','FALSE','FALSE','FALSE',20,75,2000,72,549.06,-124.44,0.05,-0.04,3010.34,-1308.44,78.32,-0.04
'TRUE','FALSE','FALSE','FALSE','FALSE','FALSE',100,75,2000,72,549.06,-124.44,0.05,-0.04,3010.34,-1308.44,78.32,-0.02
'TRUE','FALSE','FALSE','FALSE','FALSE','FALSE',1000,75,2000,72,549.06,-124.44,0.05,-0.04,3010.34,-1308.44,78.34,-0.05
'FALSE','TRUE','TRUE','TRUE','TRUE','TRUE',20,75,2000,70,0.80,-0.56,0.28,-0.30,2681.58,-1883.76,0.02,0.00
'FALSE','TRUE','TRUE','TRUE','TRUE','TRUE',100,75,2000,70,2.62,-1.69,0.10,-0.10,2825.50,-1811.18,0.04,-0.01
'FALSE','TRUE','TRUE','TRUE','TRUE','TRUE',1000,75,2000,70,39.39,-16.47,0.30,-0.31,1840.78,-1343.31,0.38,-0.07
'FALSE','TRUE','TRUE','TRUE','TRUE','FALSE',20,75,2000,70,127.46,-49.46,0.23,-0.32,2095.72,-998.80,0.42,-0.21
'FALSE','TRUE','TRUE','TRUE','TRUE','FALSE',100,75,2000,70,98.86,-39.55,0.28,-0.23,1783.93,-1281.26,0.47,-0.23
'FALSE','TRUE','TRUE','TRUE','TRUE','FALSE',1000,75,2000,70,77.48,-28.64,0.32,-0.30,1902.03,-1423.55,0.70,-0.34
'FALSE','TRUE','TRUE','TRUE','FALSE','TRUE',20,75,2000,73,0.31,-0.09,0.00,0.00,2910.79,-1170.57,0.51,-0.14
'FALSE','TRUE','TRUE','TRUE','FALSE','TRUE',100,75,2000,73,1.63,-0.70,0.00,0.00,3288.25,-1462.21,1.95,-0.54
'FALSE','TRUE','TRUE','TRUE','FALSE','TRUE',1000,75,2000,73,38.55,-13.91,0.00,0.00,2224.90,-1350.54,20.32,-3.63
'FALSE','TRUE','TRUE','TRUE','FALSE','FALSE',20,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.58,-16.16
'FALSE','TRUE','TRUE','TRUE','FALSE','FALSE',100,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.59,-16.14
'FALSE','TRUE','TRUE','TRUE','FALSE','FALSE',1000,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.59,-16.15
'FALSE','TRUE','TRUE','FALSE','TRUE','TRUE',20,75,2000,70,0.80,-0.56,0.28,-0.30,2681.58,-1883.76,0.02,0.00
'FALSE','TRUE','TRUE','FALSE','TRUE','TRUE',100,75,2000,70,2.64,-1.72,0.10,-0.10,2824.15,-1809.80,0.04,-0.01
'FALSE','TRUE','TRUE','FALSE','TRUE','TRUE',1000,75,2000,70,39.39,-16.47,0.30,-0.31,1840.75,-1343.34,0.38,-0.07
'FALSE','TRUE','TRUE','FALSE','TRUE','FALSE',20,75,2000,70,127.46,-49.46,0.23,-0.32,2095.72,-998.80,0.42,-0.21
'FALSE','TRUE','TRUE','FALSE','TRUE','FALSE',100,75,2000,70,99.55,-40.25,0.29,-0.23,1788.88,-1281.72,0.47,-0.23
'FALSE','TRUE','TRUE','FALSE','TRUE','FALSE',1000,75,2000,70,77.59,-28.81,0.32,-0.30,1902.16,-1423.71,0.70,-0.34
'FALSE','TRUE','TRUE','FALSE','FALSE','TRUE',20,75,2000,73,0.31,-0.09,0.00,0.00,2910.79,-1170.57,0.50,-0.13
'FALSE','TRUE','TRUE','FALSE','FALSE','TRUE',100,75,2000,73,1.63,-0.70,0.00,0.00,3288.25,-1462.21,1.94,-0.53
'FALSE','TRUE','TRUE','FALSE','FALSE','TRUE',1000,75,2000,73,38.55,-13.91,0.00,0.00,2224.90,-1350.54,20.30,-3.63
'FALSE','TRUE','TRUE','FALSE','FALSE','FALSE',20,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.51,-16.11
'FALSE','TRUE','TRUE','FALSE','FALSE','FALSE',100,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.50,-16.10
'FALSE','TRUE','TRUE','FALSE','FALSE','FALSE',1000,75,2000,73,67.01,-23.76,0.00,0.00,2231.30,-1376.70,35.48,-16.10
'FALSE','TRUE','FALSE','TRUE','TRUE','TRUE',20,75,2000,70,60558.11,-16608.75,0.00,0.00,3716.05,-1448.65,0.02,0.00
'FALSE','TRUE','FALSE','TRUE','TRUE','TRUE',100,75,2000,70,188459.16,-49827.95,0.00,0.00,3748.28,-1537.65,0.04,-0.01
'FALSE','TRUE','FALSE','TRUE','TRUE','TRUE',1000,75,2000,70,1262025.31,-225322.70,0.00,0.00,3134.69,-946.48,0.38,-0.07
'FALSE','TRUE','FALSE','TRUE','TRUE','FALSE',20,75,2000,70,4012076.95,-1819957.72,0.00,0.00,3122.20,-942.39,0.42,-0.20
